iter	Passed	Remaining
0	57	57620
1	58	29065
2	58	19519
3	59	14744
4	59	11872
5	60	9965
6	60	8615
7	61	7602
8	61	6808
9	62	6186
10	63	5668
11	63	5235
12	64	4869
13	64	4554
14	65	4278
15	65	4039
16	66	3827
17	66	3651
18	67	3486
19	68	3333
20	68	3199
21	69	3072
22	69	2957
23	70	2851
24	70	2755
25	71	2667
26	71	2588
27	72	2512
28	72	2441
29	73	2372
30	73	2307
31	74	2249
32	74	2194
33	75	2141
34	75	2093
35	76	2048
36	77	2004
37	77	1962
38	77	1921
39	78	1883
40	79	1848
41	79	1814
42	80	1781
43	80	1751
44	81	1722
45	81	1692
46	82	1665
47	82	1640
48	83	1616
49	83	1591
50	84	1566
51	84	1543
52	85	1520
53	85	1499
54	86	1480
55	86	1461
56	87	1443
57	87	1425
58	88	1407
59	88	1389
60	89	1372
61	89	1355
62	90	1338
63	90	1323
64	90	1308
65	91	1293
66	91	1278
67	92	1264
68	92	1251
69	93	1239
70	93	1226
71	94	1214
72	94	1203
73	95	1191
74	95	1179
75	96	1168
76	96	1157
77	97	1148
78	97	1139
79	98	1129
80	98	1120
81	99	1111
82	99	1099
83	100	1090
84	100	1081
85	100	1072
86	101	1064
87	101	1056
88	102	1049
89	103	1041
90	103	1034
91	104	1027
92	104	1020
93	105	1012
94	105	1005
95	106	999
96	106	993
97	107	987
98	107	982
99	108	976
100	109	971
101	109	965
102	110	959
103	110	952
104	111	946
105	111	940
106	112	935
107	112	929
108	112	923
109	113	918
110	114	913
111	114	907
112	115	902
113	115	897
114	115	892
115	116	886
116	116	881
117	117	876
118	117	871
119	118	865
120	118	860
121	118	855
122	119	852
123	120	848
124	120	845
125	121	842
126	121	838
127	122	834
128	122	830
129	123	826
130	123	822
131	124	818
132	125	814
133	125	811
134	126	808
135	126	805
136	127	803
137	128	801
138	129	799
139	132	815
140	133	812
141	133	807
142	134	804
143	134	800
144	135	797
145	135	794
146	136	790
147	136	787
148	137	783
149	137	780
150	138	777
151	138	773
152	139	770
153	139	766
154	140	763
155	140	760
156	141	757
157	141	754
158	142	752
159	142	749
160	143	745
161	143	742
162	143	738
163	144	735
164	144	732
165	145	729
166	145	726
167	146	723
168	146	721
169	147	718
170	147	716
171	148	713
172	148	711
173	149	708
174	149	705
175	150	702
176	150	699
177	150	696
178	151	693
179	152	693
180	153	692
181	153	690
182	154	688
183	154	685
184	155	682
185	155	680
186	155	677
187	156	675
188	156	673
189	157	671
190	158	669
191	158	667
192	159	666
193	159	663
194	160	661
195	160	659
196	161	657
197	161	655
198	162	653
199	162	651
200	163	649
201	164	648
202	164	646
203	165	644
204	165	643
205	166	641
206	166	639
207	167	637
208	167	635
209	168	633
210	169	632
211	169	631
212	170	628
213	170	626
214	171	625
215	171	623
216	172	621
217	172	619
218	173	617
219	173	615
220	174	614
221	174	613
222	175	611
223	175	609
224	176	607
225	176	605
226	177	603
227	177	601
228	178	599
229	178	597
230	179	596
231	179	594
232	180	593
233	180	591
234	181	590
235	182	589
236	182	587
237	182	585
238	183	583
239	183	582
240	184	580
241	185	579
242	185	577
243	185	576
244	186	574
245	186	572
246	187	571
247	187	569
248	188	567
249	188	566
250	189	564
251	189	562
252	190	561
253	190	560
254	191	558
255	191	557
256	192	556
257	192	554
258	193	552
259	193	551
260	194	549
261	194	548
262	195	546
263	195	545
264	196	544
265	196	543
266	197	542
267	197	540
268	198	539
269	198	537
270	199	536
271	199	534
272	200	533
273	200	532
274	201	530
275	201	529
276	202	527
277	202	526
278	203	524
279	203	523
280	203	521
281	204	520
282	204	518
283	205	517
284	205	515
285	205	514
286	206	512
287	207	511
288	207	510
289	208	509
290	208	507
291	208	506
292	209	505
293	209	504
294	210	502
295	210	501
296	211	500
297	211	499
298	212	497
299	212	496
300	213	495
301	214	495
302	214	494
303	215	492
304	215	491
305	216	490
306	216	488
307	217	487
308	217	486
309	218	485
310	218	484
311	219	483
312	219	482
313	220	481
314	220	480
315	221	478
316	221	477
317	222	476
318	222	475
319	223	474
320	223	473
321	224	472
322	224	471
323	225	470
324	225	468
325	226	467
326	226	466
327	227	465
328	227	464
329	228	462
330	228	461
331	229	460
332	229	459
333	230	458
334	230	457
335	231	456
336	231	455
337	231	454
338	232	453
339	232	452
340	233	450
341	233	450
342	234	448
343	234	447
344	235	446
345	235	445
346	236	444
347	236	443
348	237	442
349	237	441
350	238	440
351	238	439
352	239	438
353	239	437
354	240	436
355	240	435
356	241	434
357	241	433
358	242	432
359	242	431
360	243	430
361	243	429
362	244	428
363	244	427
364	245	426
365	246	426
366	246	425
367	247	424
368	247	423
369	248	422
370	248	421
371	248	420
372	249	419
373	249	418
374	250	417
375	251	416
376	251	415
377	252	414
378	252	413
379	253	412
380	253	411
381	253	410
382	254	409
383	254	408
384	255	407
385	255	406
386	256	406
387	256	405
388	257	404
389	257	403
390	258	402
391	258	401
392	259	400
393	259	399
394	260	398
395	260	397
396	261	397
397	262	396
398	262	395
399	263	394
400	263	393
401	264	393
402	264	392
403	265	391
404	265	390
405	266	389
406	266	388
407	267	387
408	267	386
409	268	385
410	268	384
411	269	384
412	269	383
413	270	382
414	270	381
415	270	380
416	271	379
417	272	378
418	272	378
419	273	377
420	274	376
421	274	376
422	275	375
423	275	374
424	276	373
425	276	372
426	276	371
427	277	370
428	277	369
429	278	369
430	278	368
431	279	367
432	279	366
433	280	365
434	280	364
435	281	363
436	281	362
437	282	362
438	282	361
439	283	360
440	284	360
441	284	359
442	285	358
443	285	357
444	286	356
445	286	356
446	287	355
447	287	354
448	288	353
449	288	352
450	289	351
451	289	350
452	289	349
453	290	348
454	290	348
455	290	347
456	291	346
457	291	345
458	292	344
459	292	343
460	293	342
461	293	341
462	293	340
463	294	340
464	295	339
465	295	338
466	296	337
467	296	337
468	297	336
469	297	335
470	298	334
471	298	334
472	299	333
473	299	332
474	300	332
475	300	331
476	301	330
477	301	329
478	302	328
479	302	328
480	303	327
481	303	326
482	304	326
483	305	325
484	305	324
485	306	324
486	306	323
487	307	322
488	307	321
489	308	320
490	308	320
491	309	319
492	309	318
493	310	317
494	310	317
495	311	316
496	311	315
497	312	314
498	312	313
499	313	313
500	313	312
501	313	311
502	314	310
503	314	309
504	315	309
505	315	308
506	316	307
507	316	306
508	317	306
509	318	305
510	318	304
511	319	304
512	319	303
513	320	302
514	320	302
515	321	301
516	322	300
517	322	300
518	323	299
519	323	298
520	324	297
521	324	297
522	324	296
523	325	295
524	325	294
525	326	294
526	326	293
527	327	292
528	328	292
529	328	291
530	329	290
531	329	290
532	330	289
533	330	288
534	331	287
535	331	287
536	332	286
537	332	285
538	333	284
539	333	284
540	334	283
541	334	282
542	335	282
543	335	281
544	336	280
545	336	280
546	337	279
547	337	278
548	338	277
549	338	277
550	339	276
551	339	275
552	340	275
553	340	274
554	341	273
555	341	273
556	342	272
557	342	271
558	343	270
559	343	270
560	344	269
561	345	269
562	345	268
563	346	267
564	346	266
565	346	266
566	347	265
567	347	264
568	348	263
569	348	263
570	349	262
571	349	261
572	350	261
573	350	260
574	351	259
575	351	259
576	352	258
577	352	257
578	353	256
579	353	256
580	354	255
581	355	255
582	355	254
583	356	253
584	356	253
585	357	252
586	357	251
587	358	250
588	358	250
589	359	249
590	359	248
591	360	248
592	360	247
593	361	246
594	361	246
595	362	245
596	362	244
597	363	244
598	363	243
599	364	242
600	364	242
601	365	241
602	365	240
603	366	240
604	366	239
605	367	238
606	367	238
607	368	237
608	368	236
609	369	235
610	369	235
611	370	234
612	370	234
613	371	233
614	371	232
615	372	232
616	372	231
617	373	230
618	373	230
619	374	229
620	374	228
621	375	227
622	375	227
623	376	226
624	376	226
625	377	225
626	377	224
627	378	224
628	378	223
629	379	222
630	379	222
631	380	221
632	380	220
633	381	220
634	382	219
635	382	218
636	382	218
637	383	217
638	383	216
639	384	216
640	384	215
641	385	214
642	385	214
643	386	213
644	386	212
645	387	212
646	387	211
647	388	211
648	388	210
649	389	209
650	389	209
651	390	208
652	390	207
653	391	207
654	391	206
655	392	205
656	392	205
657	393	204
658	393	203
659	393	202
660	394	202
661	394	201
662	395	200
663	395	200
664	395	199
665	396	198
666	396	198
667	397	197
668	397	196
669	397	196
670	398	195
671	399	194
672	399	194
673	400	193
674	400	192
675	400	192
676	401	191
677	401	190
678	402	190
679	402	189
680	403	188
681	403	188
682	403	187
683	404	186
684	404	186
685	405	185
686	405	184
687	405	184
688	406	183
689	406	182
690	407	182
691	407	181
692	407	180
693	408	180
694	408	179
695	409	178
696	409	178
697	410	177
698	410	176
699	411	176
700	411	175
701	412	175
702	412	174
703	413	173
704	413	173
705	414	172
706	414	171
707	415	171
708	415	170
709	416	170
710	417	169
711	417	168
712	418	168
713	418	167
714	419	167
715	419	166
716	420	165
717	420	165
718	421	164
719	421	163
720	422	163
721	422	162
722	422	162
723	423	161
724	423	160
725	424	160
726	424	159
727	425	158
728	425	158
729	426	157
730	427	157
731	427	156
732	428	155
733	428	155
734	429	154
735	429	154
736	429	153
737	430	152
738	431	152
739	431	151
740	432	151
741	433	150
742	433	150
743	434	149
744	434	148
745	435	148
746	435	147
747	436	146
748	436	146
749	437	145
750	437	145
751	438	144
752	438	143
753	438	143
754	439	142
755	439	141
756	440	141
757	440	140
758	441	140
759	441	139
760	442	138
761	443	138
762	443	137
763	444	137
764	444	136
765	444	135
766	445	135
767	445	134
768	446	134
769	446	133
770	447	132
771	447	132
772	448	131
773	448	131
774	449	130
775	449	129
776	450	129
777	450	128
778	451	128
779	452	127
780	452	126
781	453	126
782	453	125
783	454	125
784	454	124
785	455	123
786	455	123
787	456	122
788	456	122
789	456	121
790	457	120
791	458	120
792	458	119
793	459	119
794	459	118
795	460	117
796	460	117
797	461	116
798	461	116
799	462	115
800	462	114
801	463	114
802	463	113
803	464	113
804	464	112
805	465	111
806	465	111
807	466	110
808	466	110
809	467	109
810	467	109
811	468	108
812	468	107
813	469	107
814	469	106
815	470	106
816	470	105
817	471	104
818	472	104
819	472	103
820	473	103
821	473	102
822	474	101
823	474	101
824	475	100
825	475	100
826	476	99
827	476	99
828	477	98
829	477	97
830	478	97
831	478	96
832	479	96
833	479	95
834	480	94
835	480	94
836	481	93
837	482	93
838	482	92
839	483	92
840	483	91
841	483	90
842	484	90
843	484	89
844	485	89
845	485	88
846	486	87
847	487	87
848	487	86
849	488	86
850	488	85
851	489	84
852	489	84
853	489	83
854	490	83
855	491	82
856	491	82
857	492	81
858	492	80
859	493	80
860	493	79
861	494	79
862	494	78
863	495	77
864	495	77
865	496	76
866	496	76
867	497	75
868	497	75
869	498	74
870	498	73
871	499	73
872	499	72
873	500	72
874	500	71
875	500	70
876	501	70
877	502	69
878	502	69
879	503	68
880	503	68
881	504	67
882	504	66
883	504	66
884	505	65
885	505	65
886	506	64
887	506	63
888	507	63
889	508	62
890	508	62
891	509	61
892	509	61
893	510	60
894	511	59
895	511	59
896	512	58
897	512	58
898	513	57
899	513	57
900	514	56
901	514	55
902	515	55
903	515	54
904	516	54
905	516	53
906	517	53
907	517	52
908	518	51
909	518	51
910	519	50
911	519	50
912	520	49
913	520	49
914	521	48
915	521	47
916	522	47
917	522	46
918	523	46
919	523	45
920	524	44
921	524	44
922	525	43
923	525	43
924	526	42
925	526	42
926	527	41
927	527	40
928	528	40
929	528	39
930	529	39
931	530	38
932	530	38
933	531	37
934	531	36
935	532	36
936	532	35
937	533	35
938	533	34
939	534	34
940	535	33
941	535	32
942	536	32
943	536	31
944	537	31
945	537	30
946	538	30
947	539	29
948	539	29
949	540	28
950	540	27
951	541	27
952	542	26
953	542	26
954	543	25
955	543	25
956	544	24
957	544	23
958	545	23
959	545	22
960	546	22
961	546	21
962	547	21
963	547	20
964	548	19
965	548	19
966	549	18
967	549	18
968	550	17
969	550	17
970	551	16
971	551	15
972	552	15
973	552	14
974	553	14
975	553	13
976	554	13
977	554	12
978	555	11
979	555	11
980	556	10
981	556	10
982	557	9
983	557	9
984	558	8
985	558	7
986	559	7
987	559	6
988	560	6
989	560	5
990	561	5
991	561	4
992	562	3
993	562	3
994	563	2
995	563	2
996	564	1
997	564	1
998	565	0
999	565	0
